id,attraction_name,attraction_url,rating,review_count,rating_details,category,description,city,languages_count,images_folder,images_path,images_count,images_list,status
3521,Essaouira Horse Escape,/Attraction_Review-g298349-d32987599-Reviews-Essaouira_Horse_Escape-Essaouira_Marrakech_Safi.html,5.0,0,[],Equestrian Trails,Equestrian Trails Ranches,Essaouira,0,attractions_images/essaouira-horse-escape/,[],0,[],NO_MATCH
3522,Arabic Calligraphy Class with Nourddine Boukheir,/Attraction_Review-g293734-d32987532-Reviews-Arabic_Calligraphy_Class_with_Nourddine_Boukheir-Marrakech_Marrakech_Safi.html,5.0,0,[],Lessons &,Lessons & Workshops,Marrakech,0,attractions_images/arabic-calligraphy-class-with-nourddine-boukheir/,[],0,[],NO_MATCH
3523,Kitesurf Worldwide Essaouira,/Attraction_Review-g298349-d29129975-Reviews-Kitesurf_Worldwide_Essaouira-Essaouira_Marrakech_Safi.html,5.0,0,[],Surfing &,Surfing & Windsurfing,Essaouira,0,attractions_images/kitesurf-worldwide-essaouira/,[],0,[],NO_MATCH
3524,THE LOBBYS,/Attraction_Review-g15276171-d29004357-Reviews-THE_LOBBYS-Agafay_Marrakech_Safi.html,5.0,0,[],"4WD, ATV","4WD, ATV & Off-Road Tours Taxis & Shuttles",Agafay,0,attractions_images/the-lobbys/,[],0,[],NO_MATCH
3525,Atlas Mountains Guide Toubkal,/Attraction_Review-g26329069-d28669073-Reviews-Atlas_Mountains_Guide_Toubkal-Imlil_Marrakech_Safi.html,5.0,0,[],Bike Tours,Bike Tours Climbing Tours,Imlil,0,attractions_images/atlas-mountains-guide-toubkal/,"[""atlas-mountains-guide01.jpg"", ""atlas-mountains-guide02.jpg"", ""atlas-mountains-guide03.jpg"", ""atlas-mountains-guide04.jpg"", ""atlas-mountains-guide05.jpg""]",5,"['atlas-mountains-guide01.jpg', 'atlas-mountains-guide02.jpg', 'atlas-mountains-guide03.jpg', 'atlas-mountains-guide04.jpg', 'atlas-mountains-guide05.jpg']",MATCHED
3526,Marruecos Diferente,/Attraction_Review-g293734-d28704548-Reviews-Marruecos_Diferente-Marrakech_Marrakech_Safi.html,5.0,0,[],Private Tours,Private Tours,Marrakech,0,attractions_images/marruecos-diferente/,[],0,[],NO_MATCH
3527,Ahmed,/Attraction_Review-g293734-d29011516-Reviews-Ahmed-Marrakech_Marrakech_Safi.html,5.0,0,[],Paint &,Paint & Pottery Studios,Marrakech,0,attractions_images/ahmed/,"[""cook-in-marrakesh-with-ahmed-and-hassan01.jpg"", ""cook-in-marrakesh-with-ahmed-and-hassan02.jpg"", ""cook-in-marrakesh-with-ahmed-and-hassan03.jpg"", ""cook-in-marrakesh-with-ahmed-and-hassan04.jpg"", ""cook-in-marrakesh-with-ahmed-and-hassan05.jpg""]",5,"['cook-in-marrakesh-with-ahmed-and-hassan01.jpg', 'cook-in-marrakesh-with-ahmed-and-hassan02.jpg', 'cook-in-marrakesh-with-ahmed-and-hassan03.jpg', 'cook-in-marrakesh-with-ahmed-and-hassan04.jpg', 'cook-in-marrakesh-with-ahmed-and-hassan05.jpg']",MATCHED
3528,Gite Detape Tamaloute,/Attraction_Review-g293734-d28660100-Reviews-Gite_D_etape_Tamaloute-Marrakech_Marrakech_Safi.html,5.0,0,[],Sightseeing Tours,Sightseeing Tours Food & Drink Festivals,Marrakech,0,attractions_images/gite-detape-tamaloute/,[],0,[],NO_MATCH
3529,Cultural and Adventure Tour,/Attraction_Review-g293734-d28662591-Reviews-Cultural_and_Adventure_Tour-Marrakech_Marrakech_Safi.html,5.0,0,[],Private Tours,Private Tours,Marrakech,0,attractions_images/cultural-and-adventure-tour/,[],0,[],NO_MATCH
3530,Tissli tour,/Attraction_Review-g293734-d29358470-Reviews-Tissli_tour-Marrakech_Marrakech_Safi.html,5.0,0,[],Multi-day Tours,Multi-day Tours Taxis & Shuttles,Marrakech,0,attractions_images/tissli-tour/,[],0,[],NO_MATCH
